account_id,customer_id,branch_id,account_type,open_date,close_date,current_balance,interest_rate,overdraft_limit,status
ACC0000001,C000367,BR012,IRA,19-08-2022,,38653.84,3.39,0,Active
ACC0000002,C000449,BR031,IRA,10-05-2022,,39012.16,3.39,0,Active
ACC0000003,C000439,BR034,Money Market,27-03-2022,14-12-2025,0,2.58,0,Closed
ACC0000004,C000115,BR029,IRA,21-07-2021,14-12-2025,0,4.95,0,Closed
ACC0000005,C000104,BR025,Money Market,01-11-2018,,35567.63,2.12,0,Active
ACC0000006,C000414,BR023,Certificate of Deposit,27-01-2013,,17482.25,3.76,0,Active
ACC0000007,C000297,BR013,Savings,10-08-2021,,11165.25,3.09,0,Active
ACC0000008,C000199,BR030,Savings,21-11-2018,,2503.66,2.36,0,Active
ACC0000009,C000287,BR033,Business Checking,06-01-2017,,360.78,0.39,4591.94,Active
ACC0000010,C000190,BR005,Certificate of Deposit,18-09-2022,,1754.27,5.04,0,Active
ACC0000011,C000497,BR024,Savings,15-12-2023,14-12-2025,0,2.88,0,Closed
ACC0000012,C000225,BR010,Savings,07-07-2020,,5517.1,2.75,0,Active
ACC0000013,C000148,BR018,IRA,28-12-2022,,17199.09,3.81,0,Active
ACC0000014,C000237,BR002,IRA,02-07-2016,,18662.13,2.9,0,Active
ACC0000015,C000010,BR024,IRA,13-02-2019,,42910.49,3.81,0,Active
ACC0000016,C000495,BR028,Certificate of Deposit,18-10-2021,,52988.94,5.28,0,Active
ACC0000017,C000092,BR017,IRA,07-03-2021,14-12-2025,0,2.56,0,Closed
ACC0000018,C000248,BR008,Savings,29-05-2023,,8355.85,3.7,0,Active
ACC0000019,C000130,BR005,Money Market,12-09-2021,,35927.48,2.51,0,Active
ACC0000020,C000060,BR013,Savings,27-03-2018,,6281.18,1.14,0,Active
ACC0000021,C000226,BR023,Savings,10-12-2019,14-12-2025,0,1.84,0,Closed
ACC0000022,C000288,BR011,Business Checking,05-05-2023,,61914.61,0.96,1664.51,Active
ACC0000023,C000270,BR013,Checking,15-05-2019,,483.67,0.07,3481.35,Active
ACC0000024,C000384,BR001,Checking,13-09-2022,,5,0.26,1902.7,Active
ACC0000025,C000360,BR005,IRA,01-02-2019,,13419.38,2.71,0,Active
ACC0000026,C000022,BR006,IRA,26-04-2021,,15202.82,3.99,0,Active
ACC0000027,C000067,BR021,IRA,07-04-2021,,24176.89,3.68,0,Active
ACC0000028,C000044,BR033,Business Checking,22-03-2019,,4786.93,0.91,2840.31,Active
ACC0000029,C000196,BR014,IRA,24-07-2022,,14982.02,5.66,0,Active
ACC0000030,C000299,BR005,IRA,12-12-2016,,38102.58,3.45,0,Active
ACC0000031,C000321,BR001,IRA,10-01-2022,,3063.18,4.32,0,Active
ACC0000032,C000286,BR040,Certificate of Deposit,23-12-2023,,81130.31,4.79,0,Active
ACC0000033,C000006,BR024,Savings,28-02-2021,,14760.77,3.85,0,Active
ACC0000034,C000034,BR011,Certificate of Deposit,24-08-2021,,1463.11,4.41,0,Active
ACC0000035,C000372,BR009,Savings,11-02-2021,,924.81,3.67,0,Active
ACC0000036,C000447,BR014,Business Checking,19-03-2021,,4794.42,0.2,2960.2,Active
ACC0000037,C000253,BR010,Certificate of Deposit,26-02-2021,14-12-2025,0,4.24,0,Closed
ACC0000038,C000405,BR019,Savings,16-12-2022,14-12-2025,0,2.37,0,Closed
ACC0000039,C000200,BR030,Business Checking,23-02-2022,,39912.54,0.07,1331.85,Active
ACC0000040,C000318,BR008,Money Market,11-04-2013,,23552.02,2.84,0,Active
ACC0000041,C000226,BR024,Savings,02-02-2022,27-06-2022,0,2.86,0,Closed
ACC0000042,C000398,BR031,Certificate of Deposit,13-10-2016,14-12-2025,0,4.05,0,Closed
ACC0000043,C000173,BR005,IRA,25-04-2023,14-12-2025,0,4.53,0,Closed
ACC0000044,C000009,BR029,IRA,26-06-2020,,14140.14,2.05,0,Active
ACC0000045,C000277,BR025,Business Checking,25-05-2021,,50721.25,0.1,4863.13,Active
ACC0000046,C000178,BR033,Certificate of Deposit,03-07-2023,,34343.85,5.79,0,Active
ACC0000047,C000113,BR039,Certificate of Deposit,24-01-2015,14-12-2025,0,5.49,0,Closed
ACC0000048,C000452,BR029,Savings,18-01-2016,14-12-2025,0,1.83,0,Closed
ACC0000049,C000322,BR005,IRA,07-10-2019,,12361.86,4.65,0,Active
ACC0000050,C000383,BR033,Certificate of Deposit,16-07-2022,25-09-2023,0,5.9,0,Closed
ACC0000051,C000242,BR018,IRA,31-01-2023,,6893.22,2.71,0,Active
ACC0000052,C000242,BR006,Certificate of Deposit,31-01-2023,,35590.22,3.37,0,Active
ACC0000053,C000499,BR022,Certificate of Deposit,03-04-2023,14-12-2025,0,5.19,0,Closed
ACC0000054,C000123,BR023,Money Market,07-10-2010,,16175.3,2.53,0,Active
ACC0000055,C000002,BR016,Business Checking,25-07-2021,,4371.58,0.02,3988.1,Active
ACC0000056,C000297,BR032,Money Market,27-07-2020,,30963.34,2.27,0,Active
ACC0000057,C000062,BR030,Checking,05-04-2017,,10596.94,0.44,4727.75,Active
ACC0000058,C000103,BR034,IRA,28-05-2022,,8898.08,5.84,0,Active
ACC0000059,C000372,BR015,Money Market,10-07-2020,,24971.93,2.36,0,Active
ACC0000060,C000341,BR027,IRA,01-12-2021,,46063.19,2.59,0,Active
ACC0000061,C000031,BR004,Certificate of Deposit,07-10-2015,,2731.54,5.82,0,Active
ACC0000062,C000233,BR023,Business Checking,26-11-2021,,5,0.09,4526.72,Active
ACC0000063,C000202,BR031,Checking,04-03-2019,03-11-2022,0,0.37,3190.55,Closed
ACC0000064,C000080,BR032,Business Checking,23-09-2023,14-12-2025,0,0.68,4648.43,Closed
ACC0000065,C000187,BR011,Checking,17-10-2015,14-12-2025,0,0.35,898.22,Closed
ACC0000066,C000001,BR007,Business Checking,07-09-2020,,54071.97,0.07,1381.92,Active
ACC0000067,C000071,BR039,Checking,08-10-2022,,0,0.35,703.52,Active
ACC0000068,C000478,BR016,Business Checking,01-04-2023,,10647.76,0.32,1963.99,Active
ACC0000069,C000349,BR028,Money Market,06-07-2023,14-12-2025,0,3.38,0,Closed
ACC0000070,C000445,BR009,Business Checking,23-12-2023,,19502.91,0.84,2249.05,Active
ACC0000071,C000340,BR040,IRA,24-12-2022,,62840.98,3.66,0,Active
ACC0000072,C000308,BR004,Savings,22-08-2021,,11647.81,1.56,0,Active
ACC0000073,C000118,BR039,Savings,01-06-2012,14-12-2025,0,2.39,0,Closed
ACC0000074,C000327,BR018,Business Checking,25-10-2019,,47175.82,0.02,1721.07,Active
ACC0000075,C000446,BR022,Checking,23-12-2023,,3010.43,0.18,4229.32,Active
ACC0000076,C000453,BR021,Certificate of Deposit,08-12-2021,,65440.82,3.54,0,Active
ACC0000077,C000494,BR004,Savings,17-08-2022,,1264.08,2.06,0,Active
ACC0000078,C000146,BR015,IRA,12-07-2018,,703.18,2.34,0,Active
ACC0000079,C000473,BR008,Money Market,02-06-2021,,21619.78,2.62,0,Active
ACC0000080,C000325,BR020,Checking,31-05-2021,,4620.95,0.15,2105.39,Active
ACC0000081,C000465,BR006,Savings,02-07-2012,,749.39,2.75,0,Active
ACC0000082,C000284,BR020,IRA,27-09-2022,,4155,5.99,0,Active
ACC0000083,C000024,BR033,Money Market,16-11-2021,,30620,3.09,0,Active
ACC0000084,C000033,BR007,IRA,24-12-2022,,13112.37,4.01,0,Active
ACC0000085,C000146,BR026,Savings,28-10-2021,,1236.02,1.23,0,Active
ACC0000086,C000020,BR007,IRA,17-05-2019,,19801.09,4.38,0,Active
ACC0000087,C000390,BR022,Checking,19-01-2011,,5,0.4,1764.21,Active
ACC0000088,C000458,BR037,Checking,18-10-2021,,16045.52,0.41,2942.13,Active
ACC0000089,C000455,BR014,Savings,13-10-2021,,163.52,3.92,0,Active
ACC0000090,C000433,BR035,Checking,23-12-2021,,10688.27,0.43,1134.16,Active
ACC0000091,C000226,BR009,Savings,06-11-2021,14-12-2025,0,3.96,0,Closed
ACC0000092,C000466,BR024,Money Market,16-02-2019,,14315.48,3.51,0,Active
ACC0000093,C000430,BR010,Business Checking,10-08-2022,02-08-2024,0,0.81,4109.89,Closed
ACC0000094,C000330,BR002,Money Market,04-06-2019,,36875.04,4.07,0,Active
ACC0000095,C000114,BR025,Savings,29-12-2022,,13693.24,3.09,0,Active
ACC0000096,C000028,BR023,Certificate of Deposit,29-11-2023,28-12-2024,0,3.2,0,Closed
ACC0000097,C000324,BR021,Savings,11-09-2015,,8154.37,2.61,0,Active
ACC0000098,C000373,BR021,Business Checking,22-03-2017,,48453.43,0.28,835.48,Active
