card_id,account_id,card_type,issue_date,expiry_date,credit_limit,outstanding_balance,reward_points,is_active,network
CARD000001,ACC0000426,Credit,2023-08-05,2024-03-07,20601.0,3248.85,10822,No,Discover
CARD000002,ACC0000004,Debit,2023-10-18,2025-10-06,0.0,0.0,12032,No,Discover
CARD000003,ACC0000135,Debit,2024-06-05,2024-12-13,0.0,0.0,22363,No,Visa
CARD000004,ACC0000371,Credit,2022-04-20,2022-09-19,10036.93,661.78,8600,No,American Express
CARD000005,ACC0000414,Credit,2021-09-26,2024-02-14,10392.5,4186.94,6983,No,Visa
CARD000006,ACC0000516,Debit,2022-10-24,2025-04-17,0.0,0.0,11711,No,Visa
CARD000007,ACC0000073,Debit,2023-11-07,2026-06-16,0.0,0.0,11370,No,American Express
CARD000008,ACC0000544,Debit,2020-05-14,2021-04-02,0.0,0.0,31006,No,Discover
CARD000009,ACC0000487,Debit,2022-06-28,2023-07-12,0.0,0.0,41690,No,Discover
CARD000010,ACC0000416,Credit,2021-12-30,2023-08-29,27571.29,11414.15,33512,No,Visa
CARD000011,ACC0000373,Debit,2023-09-23,2024-11-15,0.0,0.0,36236,No,Discover
CARD000012,ACC0000209,Debit,2023-12-05,2026-11-06,0.0,0.0,47403,No,American Express
CARD000013,ACC0000231,Debit,2022-11-11,2025-05-03,0.0,0.0,5728,No,Visa
CARD000014,ACC0000117,Credit,2022-06-13,2025-04-29,29938.35,17603.11,37483,No,Mastercard
CARD000015,ACC0000073,Credit,2023-01-22,2025-12-31,21270.73,7535.15,13565,No,Mastercard
CARD000016,ACC0000619,Credit,2024-07-23,2024-10-30,12705.76,1698.14,33059,No,Visa
CARD000017,ACC0000507,Debit,2019-12-18,2021-12-07,0.0,0.0,16103,No,Discover
CARD000018,ACC0000638,Credit,2022-05-27,2023-08-25,22126.4,11973.38,1673,No,American Express
CARD000019,ACC0000579,Credit,2023-10-11,2025-06-05,11617.36,8042.87,36483,No,Mastercard
CARD000020,ACC0000051,Debit,2023-11-17,2024-09-12,0.0,0.0,21614,No,Visa
CARD000021,ACC0000401,Debit,2023-02-10,2024-05-06,0.0,0.0,39859,No,Visa
CARD000022,ACC0000557,Debit,2023-10-05,2026-05-07,0.0,0.0,4505,Yes,American Express
CARD000023,ACC0000429,Debit,2023-09-10,2024-03-27,0.0,0.0,17226,No,Mastercard
CARD000024,ACC0000053,Credit,2024-02-29,2025-11-26,27317.65,3256.17,23227,No,American Express
CARD000025,ACC0000334,Credit,2022-05-05,2025-01-25,27889.34,4622.24,48471,No,American Express
CARD000026,ACC0000149,Debit,2018-04-29,2018-12-13,0.0,0.0,1248,No,American Express
CARD000027,ACC0000054,Debit,2019-03-06,2019-09-15,0.0,0.0,27855,No,American Express
CARD000028,ACC0000479,Debit,2022-11-27,2025-01-17,0.0,0.0,43419,No,Mastercard
CARD000029,ACC0000072,Debit,2022-10-09,2025-01-31,0.0,0.0,8285,No,Discover
CARD000030,ACC0000031,Credit,2022-04-23,2023-06-23,48541.51,32280.69,38197,No,American Express
CARD000031,ACC0000312,Debit,2024-01-30,2024-02-06,0.0,0.0,27167,No,Visa
CARD000032,ACC0000027,Debit,2021-06-30,2021-12-16,0.0,0.0,41362,No,Visa
CARD000033,ACC0000535,Debit,2024-02-06,2025-07-07,0.0,0.0,33849,No,Discover
CARD000034,ACC0000617,Debit,2022-09-25,2025-06-13,0.0,0.0,13488,No,American Express
CARD000035,ACC0000297,Debit,2020-01-18,2020-08-26,0.0,0.0,8504,No,Discover
CARD000036,ACC0000399,Debit,2023-10-17,2026-01-21,0.0,0.0,25178,Yes,American Express
CARD000037,ACC0000579,Credit,2023-04-06,2026-01-09,4269.72,308.84,39356,No,Mastercard
CARD000038,ACC0000225,Debit,2023-06-11,2025-07-20,0.0,0.0,3739,No,Discover
