payment_id,loan_id,payment_date,scheduled_amount,paid_amount,principal_paid,interest_paid,penalty,days_late,payment_method,status
LP0001845,L000001,2023-10-22,5077.24,0.0,0.0,0.0,0.0,0,Bank Transfer,Pending
LP0000269,L000001,2023-11-22,5077.24,0.0,0.0,0.0,0.0,0,Cash,Pending
LP0000782,L000001,2023-12-22,5077.24,5077.24,2812.27,2112.65,152.32,12,Credit Card,Late
LP0001634,L000001,2024-01-22,5077.24,5077.24,3197.69,1879.55,0.0,0,Cheque,Paid
LP0000566,L000001,2024-02-22,5077.24,5077.24,2861.38,2063.54,152.32,31,Cash,Late
LP0000076,L000001,2024-03-22,5077.24,5077.24,3150.8,1774.12,152.32,4,Debit Card,Late
LP0000450,L000001,2024-04-22,5077.24,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0000389,L000001,2024-05-22,5077.24,0.0,0.0,0.0,0.0,0,Credit Card,Missed
LP0001303,L000001,2024-06-22,5077.24,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0001924,L000001,2024-07-22,5077.24,0.0,0.0,0.0,0.0,0,Debit Card,Missed
LP0000274,L000002,2021-11-14,2653.45,2653.45,1434.98,1138.87,79.6,33,Debit Card,Late
LP0000010,L000002,2021-12-14,2653.45,0.0,0.0,0.0,0.0,0,Debit Card,Missed
LP0001406,L000002,2022-01-14,2653.45,0.0,0.0,0.0,0.0,0,Credit Card,Missed
LP0000531,L000002,2022-02-14,2653.45,0.0,0.0,0.0,0.0,0,Cash,Missed
LP0000310,L000002,2022-03-14,2653.45,2653.45,1813.28,840.17,0.0,0,Bank Transfer,Paid
LP0000774,L000002,2022-04-14,2653.45,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0000699,L000002,2022-05-14,2653.45,0.0,0.0,0.0,0.0,0,Online Banking,Missed
LP0000238,L000003,2022-02-28,5726.04,0.0,0.0,0.0,0.0,0,Online Banking,Pending
LP0001043,L000003,2022-03-28,5726.04,0.0,0.0,0.0,0.0,0,Cash,Missed
LP0001428,L000003,2022-04-28,5726.04,16230.44,14324.85,1905.59,0.0,0,Auto Debit,Paid
LP0000616,L000003,2022-05-28,5726.04,15674.4,13566.58,2107.82,0.0,0,Debit Card,Paid
LP0001564,L000003,2022-06-28,5726.04,14519.44,11991.56,2356.1,171.78,32,Cheque,Late
LP0001073,L000003,2022-07-28,5726.04,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0000334,L000003,2022-08-28,5726.04,15579.13,13436.66,1970.69,171.78,22,Cheque,Late
LP0000335,L000003,2022-09-28,5726.04,15423.96,13225.05,2198.91,0.0,0,Cash,Paid
LP0001542,L000004,2023-08-06,4115.16,22947.89,22947.89,0.0,0.0,0,Debit Card,Paid
LP0001836,L000004,2023-09-06,4115.16,22947.89,22947.89,0.0,0.0,0,Bank Transfer,Paid
LP0001563,L000004,2023-10-06,4115.16,22947.89,22947.89,0.0,0.0,0,Cheque,Paid
LP0000800,L000004,2023-11-06,4115.16,22947.9,22947.9,0.0,0.0,0,Cheque,Paid
LP0001560,L000005,2020-11-05,18478.65,67093.56,61704.58,4834.62,554.36,36,Debit Card,Late
LP0001468,L000005,2020-12-05,18478.65,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0001541,L000005,2021-01-05,18478.65,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0001768,L000005,2021-02-05,18478.65,57598.37,49652.79,7391.22,554.36,5,Cheque,Late
LP0001020,L000005,2021-03-05,18478.65,0.0,0.0,0.0,0.0,0,Debit Card,Missed
LP0000579,L000005,2021-04-05,18478.65,57988.86,50148.42,7286.08,554.36,16,Debit Card,Late
LP0001281,L000005,2021-05-05,18478.65,58082.53,50267.31,7815.22,0.0,0,Cheque,Paid
LP0001060,L000006,2022-10-23,5995.75,5995.75,4055.27,1760.61,179.87,2,Auto Debit,Late
LP0000538,L000006,2022-11-23,5995.75,5995.75,3859.63,1956.25,179.87,15,Debit Card,Late
LP0000206,L000006,2022-12-23,5995.75,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0001501,L000006,2023-01-23,5995.75,0.0,0.0,0.0,0.0,0,Bank Transfer,Pending
LP0001974,L000006,2023-02-23,5995.75,5995.75,4429.03,1566.72,0.0,0,Online Banking,Paid
LP0000294,L000007,2023-12-22,10064.72,10064.72,6769.99,3294.73,0.0,0,Cheque,Paid
LP0001909,L000007,2024-01-22,10064.72,10064.72,6491.0,3573.72,0.0,0,Debit Card,Paid
LP0000157,L000007,2024-02-22,10064.72,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0000556,L000007,2024-03-22,10064.72,0.0,0.0,0.0,0.0,0,Cash,Pending
LP0001644,L000007,2024-04-22,10064.72,10064.72,5689.76,4374.96,0.0,0,Cash,Paid
LP0001010,L000007,2024-05-22,10064.72,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0001757,L000007,2024-06-22,10064.72,10064.72,6237.52,3827.2,0.0,0,Online Banking,Paid
LP0000298,L000007,2024-07-22,10064.72,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0000732,L000008,2024-01-23,3182.2,0.0,0.0,0.0,0.0,0,Debit Card,Missed
LP0000250,L000008,2024-02-23,3182.2,3182.2,2238.8,847.93,95.47,9,Cash,Late
LP0000131,L000008,2024-03-23,3182.2,3182.2,2266.09,820.64,95.47,24,Bank Transfer,Late
LP0000073,L000009,2020-10-02,3832.58,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0001022,L000009,2020-11-02,3832.58,121555.24,120403.58,1151.66,0.0,0,Bank Transfer,Paid
LP0001797,L000009,2020-12-02,3832.58,98678.33,97005.69,1557.66,114.98,9,Credit Card,Late
LP0001285,L000009,2021-01-02,3832.58,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0001023,L000009,2021-02-02,3832.58,102008.57,100411.77,1596.8,0.0,0,Cheque,Paid
LP0001215,L000010,2023-06-01,1091.46,1091.46,692.59,398.87,0.0,0,Credit Card,Paid
LP0000674,L000010,2023-07-01,1091.46,0.0,0.0,0.0,0.0,0,Cash,Missed
LP0001692,L000010,2023-08-01,1091.46,1091.46,626.02,465.44,0.0,0,Credit Card,Paid
LP0000425,L000010,2023-09-01,1091.46,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0001947,L000010,2023-10-01,1091.46,0.0,0.0,0.0,0.0,0,Cash,Missed
LP0000621,L000010,2023-11-01,1091.46,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0001422,L000010,2023-12-01,1091.46,1091.46,784.11,307.35,0.0,0,Bank Transfer,Paid
LP0001738,L000011,2021-12-28,7952.99,0.0,0.0,0.0,0.0,0,Debit Card,Missed
