loan_id,customer_id,branch_id,loan_type,principal_amount,interest_rate,tenure_months,disbursement_date,maturity_date,emi_amount,outstanding_balance,loan_status,purpose
L000001,C000061,BR023,Business,159499.58,9.07,36,2023-09-22,2026-09-22,5077.24,147477.44,Defaulted,Business Expansion
L000002,C000266,BR010,Credit Builder,204664.32,15.4,360,2021-10-14,2051-10-14,2653.45,201416.06,In Arrears,Personal
L000003,C000243,BR030,Personal,66544.7,5.96,12,2022-01-28,2023-01-28,5726.04,0.0,Closed,Personal
L000004,C000349,BR021,Credit Builder,91791.57,7.13,24,2023-07-06,2025-07-06,4115.16,0.0,Closed,Debt Consolidation
L000005,C000151,BR013,Personal,211773.1,8.58,12,2020-10-05,2021-10-05,18478.65,0.0,Closed,Debt Consolidation
L000006,C000461,BR040,Education,175180.04,14.1,36,2022-09-23,2025-09-23,5995.75,162836.11,Defaulted,Education
L000007,C000267,BR029,Personal,337989.43,4.57,36,2023-11-22,2026-11-22,10064.72,312801.16,Active,Personal
L000008,C000445,BR014,Business,249614.81,15.13,360,2023-12-23,2053-12-23,3182.2,245109.92,Defaulted,Business Expansion
L000009,C000230,BR019,Education,317821.04,7.86,120,2020-09-02,2030-09-02,3832.58,0.0,Closed,Education
L000010,C000071,BR031,Credit Builder,78731.98,4.42,84,2023-05-01,2030-05-01,1091.46,76629.26,In Arrears,Debt Consolidation
L000011,C000105,BR003,Education,87008.98,17.42,12,2021-11-28,2022-11-28,7952.99,72066.31,In Arrears,Education
L000012,C000130,BR024,Credit Builder,210028.44,12.63,84,2023-05-03,2030-05-03,3778.71,203109.52,In Arrears,Personal
L000013,C000052,BR018,Home,103636.52,18.13,36,2020-12-18,2023-12-18,3753.47,88769.56,Defaulted,Home Purchase
L000014,C000436,BR003,Education,345809.11,5.12,36,2023-05-25,2026-05-25,10382.85,295833.95,Active,Education
L000015,C000401,BR001,Personal,353295.18,8.91,240,2023-12-03,2043-12-03,3158.27,347274.73,In Arrears,Debt Consolidation
L000016,C000224,BR040,Home,220071.72,17.38,36,2021-12-23,2024-12-23,7887.84,0.0,Closed,Home Purchase
L000017,C000140,BR007,Personal,375188.24,12.95,180,2021-01-10,2036-01-10,4734.7,357132.29,Active,Debt Consolidation
L000018,C000469,BR032,Credit Builder,11329.1,17.69,60,2023-01-04,2028-01-04,285.78,10759.62,Defaulted,Debt Consolidation
L000019,C000300,BR017,Home,309171.73,10.27,36,2023-05-09,2026-05-09,10015.34,0.0,Closed,Home Purchase
L000020,C000101,BR008,Personal,291368.88,6.9,60,2021-01-31,2026-01-31,5755.72,268831.5,Active,Personal
L000021,C000254,BR006,Auto,488732.99,17.28,36,2023-04-28,2026-04-28,17492.85,453314.3,Defaulted,Vehicle
L000022,C000126,BR017,Education,24950.84,10.43,360,2023-03-18,2053-03-18,226.93,24080.61,In Arrears,Education
L000023,C000418,BR033,Business,74906.64,13.7,180,2023-12-23,2038-12-23,982.51,72549.35,Defaulted,Business Expansion
L000024,C000162,BR002,Personal,45441.6,7.5,48,2023-06-03,2027-06-03,1098.73,43336.26,Active,Personal
L000025,C000359,BR032,Personal,176128.14,16.55,12,2023-12-12,2024-12-12,16026.13,0.0,Closed,Debt Consolidation
L000026,C000371,BR010,Business,126386.94,7.47,84,2021-12-05,2028-12-05,1936.69,0.0,Closed,Business Expansion
L000027,C000312,BR030,Auto,69024.77,16.37,60,2022-09-01,2027-09-01,1692.15,0.0,Closed,Vehicle
