transaction_id,account_id,transaction_date,transaction_time,transaction_type,amount,channel,description,balance_after,status
TXN00002247,ACC0000001,2022-09-24,19:29:00,Fee,2930.08,Online,Utility,45795.94,Completed
TXN00003612,ACC0000001,2022-10-15,9:27:00,Debit,2898.67,POS,Purchase,45795.94,Pending
TXN00004065,ACC0000001,2022-10-25,9:05:00,Credit,14212.08,Branch,Investment,45795.94,Pending
TXN00003529,ACC0000001,2022-11-22,17:28:00,Credit,14843.91,Online,Salary,45795.94,Failed
TXN00004778,ACC0000001,2024-02-04,11:43:00,ATM Withdrawal,6021.8,ATM,Rent,45795.94,Pending
TXN00002051,ACC0000001,2024-04-18,19:44:00,Debit,3924.32,Mobile,Utility,41871.62,Completed
TXN00003022,ACC0000001,2024-07-31,15:02:00,Debit,3217.78,POS,Rent,38653.84,Completed
TXN00002042,ACC0000002,2023-05-13,18:44:00,Credit,9228.16,Online,Refund,49750.2,Completed
TXN00004007,ACC0000002,2023-08-29,19:43:00,Debit,10103.56,Online,Rent,49750.2,Pending
TXN00000999,ACC0000002,2023-09-22,19:38:00,Fee,10738.04,Online,Utility,39012.16,Completed
TXN00002826,ACC0000002,2024-07-28,8:02:00,Fee,3224.22,Online,Utility,39012.16,Pending
TXN00002966,ACC0000002,2024-08-06,10:25:00,Interest,310.71,Online,Investment,39012.16,Pending
TXN00002822,ACC0000003,2022-08-26,15:36:00,Interest,9076.54,Branch,Investment,37566.66,Failed
TXN00000229,ACC0000003,2022-10-18,17:29:00,Interest,6471.07,Branch,Investment,37566.66,Pending
TXN00003235,ACC0000003,2022-12-01,10:17:00,Interest,10057.42,Online,Investment,37566.66,Pending
TXN00004212,ACC0000003,2022-12-08,16:02:00,ATM Withdrawal,5673.05,ATM,Rent,37566.66,Pending
TXN00000738,ACC0000003,2023-04-06,10:59:00,ATM Withdrawal,9462.25,ATM,Utility,28104.41,Completed
TXN00003159,ACC0000003,2023-04-13,19:10:00,ATM Withdrawal,634.77,ATM,Rent,28104.41,Failed
